ID,Moved,Fascinated,Funny,Surprised,Indifferent,Calm,Unsettled,Personal,Curious
1001,-0.14107,0.74282,-0.8291,0.11442,-0.21236,0.31368,-0.47097,0.14376,0.33884
1002,-0.22582,0.23785,-0.022247,0.082065,0.16403,0.64669,-0.60968,-0.21377,-0.059109
1003,0.002834,0.44047,-0.86941,0.048535,-0.10546,0.59143,-0.46635,0.24483,0.11312
1004,0.46902,0.50615,-0.96597,-0.25448,-0.42721,1.1216,-0.77288,0.054223,0.2695
1005,-0.80147,0.4961,0.32605,0.23783,0.14185,0.033303,-0.11804,-0.68129,0.36566
1006,-0.25777,0.29422,-0.48871,0.042017,0.65161,0.41421,-0.18297,-0.4942,0.0216
1007,0.16483,0.58449,-0.95941,0.1825,-0.37999,0.87628,-0.75691,0.12317,0.16504
1008,-0.033978,0.63842,-0.78148,0.086446,0.44838,0.27112,-0.23298,-0.49567,0.099748
1009,0.0049915,0.73277,-0.74376,-0.0082879,-0.86954,0.55304,-0.30165,0.11004,0.5224
1010,0.25478,0.90964,-0.76377,-0.090928,-0.43831,0.19288,-0.76366,0.3239,0.37547
1011,0.075966,0.29703,-1.0015,-0.2415,0.36804,0.85133,-0.40679,-0.03059,0.088016
1012,0.32632,0.43758,-1.0205,-0.20088,0.11102,0.99559,-0.94884,0.2763,0.023358
1013,-0.40359,0.64809,-0.46326,0.56731,-0.29012,-0.12873,0.24712,-0.6258,0.44898
1014,-0.21366,0.037196,-0.62482,0.10409,0.23849,-0.42734,0.77593,-0.21458,0.32469
1015,-0.091518,0.18242,-0.63488,0.079472,-0.067565,0.095202,0.32585,-0.18867,0.29969
1016,0.34821,0.72781,-0.64465,0.012065,-0.62569,-0.057617,-0.16696,-0.1916,0.59843
1017,-0.51876,0.43636,-0.017263,0.12976,0.074051,0.098752,-0.014877,-0.58543,0.3974
1018,-0.42347,0.44894,-0.51291,0.23592,0.35382,0.29644,-0.44604,-0.43052,0.47783
1019,0.34647,0.71345,-1.1499,-0.1509,-0.083084,0.66246,-0.60504,0.056477,0.21012
1020,-0.28638,0.23524,-0.30904,0.10264,0.26146,-0.029075,0.13713,-0.35037,0.2384
1021,0.067977,0.2851,-0.64995,0.11972,0.37847,-0.087375,0.42154,-0.59329,0.057811
1022,0.10927,0.1042,-0.75227,-0.57176,0.50046,0.89368,-0.41432,0.088243,0.042509
1023,-0.073674,0.47926,-0.62542,-0.052796,-0.41579,0.04093,0.52259,-0.1257,0.2506
1024,0.21528,0.34672,-0.94951,-0.1619,0.064239,0.37697,0.092377,-0.14219,0.15801
1601,-0.6314,0.20956,0.11715,-0.20954,0.68828,0.44159,0.11063,-0.85729,0.13102
1602,0.13584,0.57871,-0.96644,0.047794,0.18227,-0.03357,0.28737,-0.35509,0.1231
1603,0.45249,0.53412,-1.0507,0.054572,-0.12649,-0.023273,0.17936,-0.36611,0.346
1604,0.15872,0.54023,-0.73294,0.11013,-0.21122,-0.43986,0.86157,-0.41411,0.12747
1605,-0.44932,0.39391,-0.22245,0.38038,0.45775,0.51877,-0.66783,-0.78035,0.36914
1606,-0.11489,0.41869,0.13665,0.5985,-0.88537,-0.60535,0.86193,-0.67459,0.26442
1607,-0.10472,0.53038,-0.30713,-0.048856,0.28913,0.59029,-0.37718,-0.52086,-0.05106
1608,-0.13364,0.38179,-0.1602,0.0014476,0.32276,0.58133,-0.14712,-0.73892,-0.10744
