Title,Artist,Gallery,Unique ID,Moved,Fascinated,Funny,Surprised,Indifferent,Calm,Unsettled,Beautiful,Arousal,Group
"Farm Landscape, Cattle in Pasture--Sunset Nantucket",George Inness,2,2008.0,1,2,4,4,3,4,2,3.0,11.0,hiPos
"Kilauea Caldera, Sandwich Islands",Jules Tavernier,2,2013.0,4,5,1,5,2,5,2,5.0,15.0,hiPos
The Arrest of Christ,Hieronymus Bosch,16,1606.0,3,3,5,5,2,5,2,4.0,16.0,hiPos
David with Head of Goliath,Antonio de Bellis,16,1603.0,4,5,1,4,2,3,3,5.0,14.0,hiPos
Susanna and the Elders,de Ribera,16,1628.0,5,5,1,5,2,5,3,4.0,16.0,hiPos
The Crucifixion,Martin Bernat,16,,4,4,1,3,2,3,4,4.0,12.0,hiPos
Joseph Sold,His Brothers,16,,3,5,1,2,3,3,5,4.0,11.0,hiPos
Eye of Saint John,Hurd,100,,4,5,1,5,2,5,2,5.0,15.0,hiPos
Pool in the Mountains,Milton Avery,1,1002.0,1,1,7,7,1,5,1,1.0,16.0,hiNeg
Junior Camp,Daniel Garber,1,1007.0,3,3,1,4,2,4,1,4.0,11.0,hiNeg
Still-life Synchromy with Nude in Yellow,Morgan Russell,1,1013.0,2,4,1,4,2,4,1,2.0,11.0,hiNeg
Untitled,Janet Sobel,1,1014.0,1,2,4,4,2,4,1,2.0,11.0,hiNeg
Composition with Boats,Stuart Davis,1,1005.0,1,1,5,5,3,5,1,2.0,12.0,hiNeg
"Portrait of Colonel James Hervey Birch, Jr.",George Caleb Bingham,2,2002.0,2,2,5,2,3,4,1,3.0,11.0,hiNeg
Portrait of Mrs. William Crane,Sarah Miriam Peale,2,2011.0,4,4,1,4,2,4,1,5.0,13.0,hiNeg
Still-life,José Agustin Arrieta,3,,3,4,1,4,2,5,1,4.0,12.0,hiNeg
Still-life with Peaches,Raphaelle Peale,3,3007.0,3,5,1,5,2,5,1,5.0,14.0,hiNeg
Saint Peter,The Astorga Master,16,1601.0,4,5,1,1,3,5,1,4.0,11.0,hiNeg
Madonna and Child with Angels,Giovanni di Paolo,16,1610.0,3,4,1,3,3,4,1,4.0,11.0,hiNeg
Madonna and Child with the Young Saint John the Baptist and Angels,Giuliano Burgiardini,16,1607.0,4,4,1,3,3,5,1,5.0,12.0,hiNeg
Mystical Marriage of Saint Catherine,Master of Frankfurt,16,1613.0,4,4,1,4,2,5,1,5.0,13.0,hiNeg
"The Holy Family with Saints Francis, Anne, and John the Baptist",Peter Paul Reubens,16,,4,6,1,3,2,6,1,6.0,14.0,hiNeg
The Coronation of the Virgin, Luca Signorelli,16,,5,5,1,3,2,5,1,5.0,14.0,hiNeg
Madonna of the Roses,Pseudo Pier Francesco Fiorentino,16,1619.0,4,5,1,5,3,5,1,5.0,15.0,hiNeg
Flower Garland with the Holy Family,Daniel Seghers,16,1621.0,6,7,1,6,1,5,1,7.0,20.0,hiNeg
By the Seashore,Sorolla y Bastida,200,20001.0,4,4,1,3,2,5,1,4.0,12.0,hiNeg
Seine in Parin,Dufy,200,20003.0,5,6,1,4,2,5,1,6.0,16.0,hiNeg
Woman Seated,Hans Hofmann,3,3009.0,1,1,4,2,3,4,2,2.0,8.0,loPos
Three Pigs and a Mountain,George Wesley,3,,2,2,1,2,4,4,2,2.0,7.0,loPos
Sunday Afternoon,Hughie Lee-Smith,3,3005.0,2,3,1,3,3,4,2,3.0,9.0,loPos
The Penitent Magdalene,Giulio Cesare Procaccini,16,1618.0,2,3,1,2,4,3,5,3.0,8.0,loPos
Formation I,Arthur Garfield Dove,1,1006.0,1,1,5,3,3,5,1,2.0,10.0,loNeg
Untitled,George Copeland Ault,1,1001.0,1,2,1,2,5,5,1,3.0,6.0,loNeg
"Late Afternoon, Giverny",Guy Orlando Rose,1,,2,2,1,2,4,4,1,3.0,7.0,loNeg
Mukie,Robert Henri,1,1009.0,2,2,4,2,4,4,1,3.0,10.0,loNeg
Morning News,Francis Luis Mora,1,1010.0,2,3,1,3,4,4,1,3.0,9.0,loNeg
The Edge of the Forest,Theodore Robinson,1,1011.0,2,3,1,3,5,5,1,3.0,9.0,loNeg
Elizabeth Crowell with a Dog,Thomas Easkins,2,2006.0,2,2,3,3,4,4,1,3.0,10.0,loNeg
Still-life,Emil J. Carlsen,2,2003.0,1,2,1,1,5,5,1,2.0,5.0,loNeg
Mr. Paff,Henry Inman,2,2007.0,1,2,1,2,5,5,1,3.0,6.0,loNeg
Portrait in Grey and Black,Eduard Jean Steichen,2,2012.0,2,2,1,2,4,4,1,3.0,7.0,loNeg
Madonna and Child with Infant John the Baptist,Fransesco Vecellio,16,1624.0,1,1,1,1,1,1,1,1.0,4.0,loNeg
Saint Nicholas of Bari,Giovanni Bonsi,16,1605.0,3,4,1,2,4,4,1,3.0,10.0,loNeg
"Male Saint, perhaps Saint Mark",Bartolommeo Vivarini,16,1625.0,3,3,1,3,4,4,1,3.0,10.0,loNeg
Madonna and Child,Carlo Crivelli,16,1609.0,2,3,1,1,5,4,1,3.0,7.0,loNeg
Saint Jerome in the Wilderness,follower of Pietro Perugino,16,,1,2,2,2,5,5,1,3.0,7.0,loNeg
Holy Family with Saint Anne,Vincenzo Catena (Vincenzo di Biagio),16,,3,3,1,2,5,5,1,3.0,9.0,loNeg
Notre Dame,Maximilien Luce,19,1906.0,2,3,1,1,4,4,1,3.0,7.0,loNeg
Afternoon Stroll,Chase,100,10003.0,3,3,1,3,3,5,1,4.0,10.0,loNeg
The White Flower,O'Keefe,100,10001.0,1,2,1,2,5,5,1,3.0,6.0,loNeg
Game of Croquet,Fries,100,10008.0,1,2,1,2,5,5,1,3.0,6.0,loNeg
Southern California Landscape,Braun,100,10002.0,2,2,1,2,4,5,1,3.0,7.0,loNeg
Rock ledge in Autumn,Braun,100,10007.0,2,2,1,3,5,5,1,3.0,8.0,loNeg
Sierra Lake,Payne,100,10009.0,2,3,1,3,3,5,1,4.0,9.0,loNeg
San Felipe Valley,Reiffel,100,10004.0,2,2,1,3,5,5,1,3.0,8.0,loNeg
Maria at La Granja,Sorolla y Bastida,200,20002.0,2,3,1,4,3,5,1,4.0,10.0,loNeg
Indian Village,Thomas Moran,2,2010.0,2,2,1,2,5,5,1,3.0,,indiff
"Blue, White and Gold",Emil J. Carlsen,2,2019.0,1,1,1,2,5,5,1,2.0,,indiff
After Many Days,Thomas Hart Benton,3,3003.0,2,2,1,2,5,5,2,2.0,,indiff
The Vision of Saint Anthony of Padua,Giovanni Battista Pittoni,16,1617.0,1,2,2,2,6,5,1,3.0,,indiff
The Seine Valley at Mézy,Berthe Morisot,19,1908.0,1,2,1,2,5,5,1,3.0,,indiff
The Masked Ball at the Elysée Montmartre,Henri de Toulouse-Lautrec,19,1909.0,1,2,2,1,5,5,1,2.0,,indiff
The Corn-poppies,Georges Braque,19,1903.0,1,2,2,1,5,5,1,2.0,,indiff
Tea at Madame Vuillard's,Èdouard Vuillard,19,,1,2,1,2,5,5,1,2.0,,indiff
Torrey Pines,Fechin,100,10010.0,1,2,1,2,5,5,1,3.0,,indiff
"The Molo from the Basin of San Marco, Venice",Bellotto,200,,2,2,1,2,5,5,1,3.0,,indiff
