Title,Artist,Unique ID
Notre Dame,Maximilien Luce,1906
Tea at Madame Vuillard's,Ìödouard Vuillard,
The Corn-poppies,Georges Braque,1903
The Masked Ball at the ElysÌ©e Montmartre,Henri de Toulouse-Lautrec,1909
The Seine Valley at MÌ©zy,Berthe Morisot,1908
After Many Days,Thomas Hart Benton,3003
Still-life,JosÌ© Agustin Arrieta,
Still-life with Peaches,Raphaelle Peale,3007
Sunday Afternoon,Hughie Lee-Smith,3005
Three Pigs and a Mountain,George Wesley,
Woman Seated,Hans Hofmann,3009
"Blue, White and Gold",Emil J. Carlsen,2019
Elizabeth Crowell with a Dog,Thomas Easkins,2006
"Farm Landscape, Cattle in Pasture--Sunset Nantucket",George Inness,2008
Indian Village,Thomas Moran,2010
"Kilauea Caldera, Sandwich Islands",Jules Tavernier,2013
Mr. Paff,Henry Inman,2007
Portrait in Grey and Black,Eduard Jean Steichen,2012
"Portrait of Colonel James Hervey Birch, Jr.",George Caleb Bingham,2002
Portrait of Mrs. William Crane,Sarah Miriam Peale,2011
Still-life,Emil J. Carlsen,2003
David with Head of Goliath,Antonio de Bellis,1603
Flower Garland with the Holy Family,Daniel Seghers,1621
Holy Family with Saint Anne,Vincenzo Catena (Vincenzo di Biagio),
Joseph Sold,His Brothers,
Madonna and Child,Carlo Crivelli,1609
Madonna and Child with Angels,Giovanni di Paolo,1610
Madonna and Child with Infant John the Baptist,Fransesco Vecellio,1624
Madonna and Child with the Young Saint John the Baptist and Angels,Giuliano Burgiardini,1607
Madonna of the Roses,Pseudo Pier Francesco Fiorentino,1619
"Male Saint, perhaps Saint Mark",Bartolommeo Vivarini,1625
Mystical Marriage of Saint Catherine,Master of Frankfurt,1613
Saint Jerome in the Wilderness,follower of Pietro Perugino,
Saint Nicholas of Bari,Giovanni Bonsi,1605
Saint Peter,The Astorga Master,1601
Susanna and the Elders,de Ribera,1628
The Arrest of Christ,Hieronymus Bosch,1606
The Coronation of the Virgin, Luca Signorelli,
The Crucifixion,Martin Bernat,
"The Holy Family with Saints Francis, Anne, and John the Baptist",Peter Paul Reubens,
The Penitent Magdalene,Giulio Cesare Procaccini,1618
The Vision of Saint Anthony of Padua,Giovanni Battista Pittoni,1617
By the Seashore,Sorolla y Bastida,20001
Maria at La Granja,Sorolla y Bastida,20002
Seine in Parin,Dufy,20003
"The Molo from the Basin of San Marco, Venice",Bellotto,
Composition with Boats,Stuart Davis,1005
Formation I,Arthur Garfield Dove,1006
Junior Camp,Daniel Garber,1007
"Late Afternoon, Giverny",Guy Orlando Rose,
Morning News,Francis Luis Mora,1010
Mukie,Robert Henri,1009
Pool in the Mountains,Milton Avery,1002
Still-life Synchromy with Nude in Yellow,Morgan Russell,1013
The Edge of the Forest,Theodore Robinson,1011
Untitled,George Copeland Ault,1001
Untitled,Janet Sobel,1014
Afternoon Stroll,Chase,10003
Eye of Saint John,Hurd,
Game of Croquet,Fries,10008
Rock ledge in Autumn,Braun,10007
San Felipe Valley,Reiffel,10004
Sierra Lake,Payne,10009
Southern California Landscape,Braun,10002
The White Flower,O'Keefe,10001
Torrey Pines,Fechin,10010
