Artist,ArtistBeautiful,Beautiful,Calm,Fascinated,Funny,Gallery,Indifferent,Moved,Surprised,Title,Unique ID,Unsettled
Maximilien Luce,,3.0,4,3,1,019,4,2,1,Notre Dame,1906.0,1
Èdouard Vuillard,,2.0,5,2,1,019,5,1,2,Tea at Madame Vuillard's,,1
Georges Braque,,2.0,5,2,2,019,5,1,1,The Corn-poppies,1903.0,1
Henri de Toulouse-Lautrec,,2.0,5,2,2,019,5,1,1,The Masked Ball at the Elysée Montmartre,,1
Berthe Morisot,,3.0,5,2,1,019,5,1,2,The Seine Valley at Mézy,,1
Thomas Hart Benton,,2.0,5,2,1,003,5,2,2,After Many Days,3003.0,2
José Agustin Arrieta,,4.0,5,4,1,003,2,3,4,Still-life,,1
Raphaelle Peale,,5.0,5,5,1,003,2,3,5,Still-life with Peaches,3007.0,1
Hughie Lee-Smith,,3.0,4,3,1,003,3,2,3,Sunday Afternoon,3005.0,2
George Wesley,,2.0,4,2,1,003,4,2,2,Three Pigs and a Mountain,,2
Hans Hofmann,,2.0,4,1,4,003,3,1,2,Woman Seated,3009.0,2
Emil J. Carlsen,,2.0,5,1,1,002,5,1,2,"Blue, White and Gold",2019.0,1
Thomas Easkins,,3.0,4,2,3,002,4,2,3,Elizabeth Crowell with a Dog,2006.0,1
George Inness,,3.0,4,2,4,002,3,1,4,"Farm Landscape, Cattle in Pasture--Sunset Nantucket",2008.0,2
Thomas Moran,,3.0,5,2,1,002,5,2,2,Indian Village,2010.0,1
Jules Tavernier,,5.0,5,5,1,002,2,4,5,"Kilauea Caldera, Sandwich Islands",2013.0,2
Henry Inman,,3.0,5,2,1,002,5,1,2,Mr. Paff,2007.0,1
Eduard Jean Steichen,,3.0,4,2,1,002,4,2,2,Portrait in Grey and Black,2012.0,1
George Caleb Bingham,,3.0,4,2,5,002,3,2,2,"Portrait of Colonel James Hervey Birch, Jr.",2002.0,1
Sarah Miriam Peale,,5.0,4,4,1,002,2,4,4,Portrait of Mrs. William Crane,2011.0,1
Emil J. Carlsen,,2.0,5,2,1,002,5,1,1,Still-life,2003.0,1
Antonio de Bellis,,5.0,3,5,1,016,2,4,4,David with Head of Goliath,1603.0,3
Daniel Seghers,,7.0,5,7,1,016,1,6,6,Flower Garland with the Holy Family,1621.0,1
Vincenzo Catena (Vincenzo di Biagio),,3.0,5,3,1,016,5,3,2,Holy Family with Saint Anne,,1
His Brothers,,4.0,3,5,1,016,3,3,2,Joseph Sold,,5
Carlo Crivelli,,3.0,4,3,1,016,5,2,1,Madonna and Child,1609.0,1
Giovanni di Paolo,,4.0,4,4,1,016,3,3,3,Madonna and Child with Angels,1610.0,1
Fransesco Vecellio,,1.0,1,1,1,016,1,1,1,Madonna and Child with Infant John the Baptist,1624.0,1
Giuliano Burgiardini,,5.0,5,4,1,016,3,4,3,Madonna and Child with the Young Saint John the Baptist and Angels,1607.0,1
Pseudo Pier Francesco Fiorentino,,5.0,5,5,1,016,3,4,5,Madonna of the Roses,1619.0,1
Bartolommeo Vivarini,,3.0,4,3,1,016,4,3,3,"Male Saint, perhaps Saint Mark",1625.0,1
Master of Frankfurt,,5.0,5,4,1,016,2,4,4,Mystical Marriage of Saint Catherine,1613.0,1
follower of Pietro Perugino,,3.0,5,2,2,016,5,1,2,Saint Jerome in the Wilderness,,1
Giovanni Bonsi,,3.0,4,4,1,016,4,3,2,Saint Nicholas of Bari,1605.0,1
The Astorga Master,,4.0,5,5,1,016,3,4,1,Saint Peter,1601.0,1
de Ribera,,4.0,5,5,1,016,2,5,5,Susanna and the Elders,1628.0,3
Hieronymus Bosch,,4.0,5,3,5,016,2,3,5,The Arrest of Christ,1606.0,2
Luca Signorelli,,5.0,5,5,1,016,2,5,3,The Coronation of the Virgin,1622.0,1
Martin Bernat,,4.0,3,4,1,016,2,4,3,The Crucifixion,,4
Peter Paul Reubens,,6.0,6,6,1,016,2,4,3,"The Holy Family with Saints Francis, Anne, and John the Baptist",,1
Giulio Cesare Procaccini,,3.0,3,3,1,016,4,2,2,The Penitent Magdalene,1618.0,5
Giovanni Battista Pittoni,,3.0,5,2,2,016,6,1,2,The Vision of Saint Anthony of Padua,1617.0,1
Sorolla y Bastida,,4.0,5,4,1,200,2,4,3,By the Seashore,20001.0,1
Sorolla y Bastida,,4.0,5,3,1,200,3,2,4,Maria at La Granja,20002.0,1
Dufy,,6.0,5,6,1,200,2,5,4,Seine in Parin,20003.0,1
Bellotto,,3.0,5,2,1,200,5,2,2,"The Molo from the Basin of San Marco, Venice",,1
Stuart Davis,,2.0,5,1,5,001,3,1,5,Composition with Boats,1005.0,1
Arthur Garfield Dove,,2.0,5,1,5,001,3,1,3,Formation I,1006.0,1
Daniel Garber,,4.0,4,3,1,001,2,3,4,Junior Camp,1007.0,1
Guy Orlando Rose,,3.0,4,2,1,001,4,2,2,"Late Afternoon, Giverny",1012.0,1
Francis Luis Mora,,3.0,4,3,1,001,4,2,3,Morning News,1010.0,1
Robert Henri,,3.0,4,2,4,001,4,2,2,Mukie,1009.0,1
Milton Avery,,1.0,5,1,7,001,1,1,7,Pool in the Mountains,1002.0,1
Morgan Russell,,2.0,4,4,1,001,2,2,4,Still-life Synchromy with Nude in Yellow,1013.0,1
Theodore Robinson,,3.0,5,3,1,001,5,2,3,The Edge of the Forest,1011.0,1
George Copeland Ault,,3.0,5,2,1,001,5,1,2,Untitled,1001.0,1
Janet Sobel,,2.0,4,2,4,001,2,1,4,Untitled,1014.0,1
Chase,,4.0,5,3,1,100,3,3,3,Afternoon Stroll,10003.0,1
Hurd,,5.0,5,5,1,100,2,4,5,Eve of Saint John,10005.0,2
Fries,,3.0,5,2,1,100,5,1,2,Game of Croquet,10008.0,1
Braun,,3.0,5,2,1,100,5,2,3,Rock ledge in Autumn,10007.0,1
Reiffel,,3.0,5,2,1,100,5,2,3,San Felipe Valley,10004.0,1
Payne,,4.0,5,3,1,100,3,2,3,Sierra Lake,10009.0,1
Braun,,3.0,5,2,1,100,4,2,2,Southern California Landscape,10002.0,1
O'Keefe,,3.0,5,2,1,100,5,1,2,The White Flower,10001.0,1
Fechin,,3.0,5,2,1,100,5,1,2,Torrey Pines,10010.0,1
