Artist,ArtistBeautiful,Beautiful,Calm,Fascinated,Funny,Gallery,Indifferent,Moved,Surprised,Title,Unique ID,Unsettled
Maximilien Luce,,4.0,4,5,3,019,3,5,5,Notre Dame,1906.0,1
Èdouard Vuillard,,3.0,5,4,4,019,4,4,3,Tea at Madame Vuillard's,,1
Georges Braque,,3.0,6,3,4,019,4,4,2,The Corn-poppies,1903.0,1
Henri de Toulouse-Lautrec,,4.0,5,4,2,019,3,4,4,The Masked Ball at the Elysée Montmartre,1909.0,1
Berthe Morisot,,3.0,4,4,2,019,4,4,4,The Seine Valley at Mézy,1908.0,1
Thomas Hart Benton,,4.0,3,5,3,003,3,5,4,After Many Days,3003.0,1
José Agustin Arrieta,,3.0,4,3,2,003,5,3,2,Still-life,,7
Raphaelle Peale,,5.0,4,5,2,003,3,5,5,Still-life with Peaches,3007.0,1
Hughie Lee-Smith,,3.0,6,4,2,003,5,5,2,Sunday Afternoon,3005.0,2
George Wesley,,4.0,6,5,4,003,5,5,4,Three Pigs and a Mountain,,1
Hans Hofmann,,4.0,3,5,5,003,3,4,5,Woman Seated,3009.0,1
Emil J. Carlsen,,4.0,6,4,2,002,3,5,2,"Blue, White and Gold",2019.0,1
Thomas Easkins,,4.0,5,4,5,002,3,5,4,Elizabeth Crowell with a Dog,2006.0,1
George Inness,,4.0,6,5,5,002,3,5,4,"Farm Landscape, Cattle in Pasture--Sunset Nantucket",2008.0,1
Thomas Moran,,5.0,5,5,2,002,4,5,2,Indian Village,2010.0,1
Jules Tavernier,,6.0,3,6,5,002,2,6,5,"Kilauea Caldera, Sandwich Islands",2013.0,1
Henry Inman,,4.0,6,4,2,002,5,4,2,Mr. Paff,2007.0,1
Eduard Jean Steichen,,4.0,6,4,2,002,6,4,2,Portrait in Grey and Black,2012.0,1
George Caleb Bingham,,4.0,6,2,2,002,6,3,2,"Portrait of Colonel James Hervey Birch, Jr.",2002.0,1
Sarah Miriam Peale,,4.0,5,4,2,002,5,5,2,Portrait of Mrs. William Crane,2011.0,1
Emil J. Carlsen,,1.0,1,1,1,002,1,1,1,Still-life,2003.0,7
Antonio de Bellis,,6.0,4,5,3,016,3,5,5,David with Head of Goliath,1603.0,1
Daniel Seghers,,5.0,3,5,4,016,3,5,5,Flower Garland with the Holy Family,1621.0,1
Vincenzo Catena (Vincenzo di Biagio),,4.0,5,3,2,016,3,4,2,Holy Family with Saint Anne,,1
His Brothers,,3.0,6,4,4,016,4,4,2,Joseph Sold,,1
Carlo Crivelli,,5.0,5,5,4,016,3,5,4,Madonna and Child,1609.0,1
Giovanni di Paolo,,3.0,5,3,4,016,5,4,4,Madonna and Child with Angels,1610.0,1
Fransesco Vecellio,,4.0,6,3,2,016,4,4,2,Madonna and Child with Infant John the Baptist,1624.0,1
Giuliano Burgiardini,,5.0,3,5,5,016,3,5,4,Madonna and Child with the Young Saint John the Baptist and Angels,1607.0,1
Pseudo Pier Francesco Fiorentino,,4.0,5,4,4,016,4,5,4,Madonna of the Roses,1619.0,1
Bartolommeo Vivarini,,4.0,5,4,3,016,5,4,3,"Male Saint, perhaps Saint Mark",1625.0,1
Master of Frankfurt,,5.0,4,5,5,016,5,5,4,Mystical Marriage of Saint Catherine,1613.0,1
follower of Pietro Perugino,,3.0,5,4,4,016,4,4,4,Saint Jerome in the Wilderness,,1
Giovanni Bonsi,,4.0,5,4,5,016,3,4,5,Saint Nicholas of Bari,1605.0,1
The Astorga Master,,3.0,5,4,5,016,4,4,4,Saint Peter,1601.0,2
