Title,Artist,Unique ID
Composition with Boats,Stuart Davis,1005
Untitled,Janet Sobel,1014
Still-life Synchromy with Nude in Yellow,Morgan Russell,1013
Untitled,George Copeland Ault,1001
Morning News,Francis Luis Mora,1010
Mukie,Robert Henri,1009
Formation I,Arthur Garfield Dove,1006
Pool in the Mountains,Milton Avery,1002
"Late Afternoon, Giverny ",Guy Orlando Rose,1012
The Edge of the Forest,Theodore Robinson,1011
Junior Camp,Daniel Garber,1007
Portrait in Grey and Black,Eduard Jean Steichen,2012
Elizabeth Crowell with a Dog,Thomas Easkins,2006
"Blue, White and Gold",Emil J. Carlsen,2019
"Portrait of Colonel James Hervey Birch, Jr.",George Caleb Bingham,2002
Portrait of Mrs. William Crane,Sarah Miriam Peale,2011
"Farm Landscape, Cattle in Pasture--Sunset Nantucket",George Inness,2008
Mr. Paff,Henry Inman,2007
Still-life,Emil J. Carlsen,2003
"Kilauea Caldera, Sandwich Islands",Jules Tavernier,2013
Indian Village,Thomas Moran,2010
Woman Seated,Hans Hofmann,3009
Sunday Afternoon,Hughie Lee-Smith,3005
After Many Days,Thomas Hart Benton,3003
Three Pigs and a Mountain,George Wesley Bellows,3002
Still-life with Peaches,Raphaelle Peale,3007
Still-life,José Agustín Arrieta,3001
The White Flower,O'Keefe,10001
Southern California Landscape,Braun,10002
Afternoon Stroll,Chase,10003
San Felipe Valley,Reiffel,10004
Rock ledge in Autumn,Braun,10007
Game of Croquet,Fries,10008
Eve of Saint John,Hurd,10005
Sierra Lake,Payne,10009
Torrey Pines,Fechin,10010
Madonna and Child with Infant John the Baptist,Fransesco Vecellio,1624
Holy Father with Saint Anne,Vincenzo Catena (Vincenzo di Biagio),1608
"The Holy Family with Saints Francis, Anne ,and John the Baptist",Peter Paul Reubens,1620
Flower Garland with the Holy Family,Daniel Seghers,1621
The Arrest of Christ,Hieronymus Bosch,1606
The Vision of Saint Anthony of Padua,Giovanni Battista Pittoni,1617
Susanna and the Elders,de Ribera,1628
Joseph Sold by His Brothers,Francesco Maffei,1612
The Penitent Magdalene,Giulio Cesare Procaccini,1618
Mystical Marriage of Saint Catherine,Master of Frankfurt,1613
Saint Jerome in the Wilderness, follower of Pietro Perugino,1616
Madonna and Child with the Young Saint John the Baptist and Angels,Giuliano Burgiardini,1607
"Male Saint, perhaps Saint Mark",Bartolommeo Vivarini,1625
Saint Peter,The Astorga Master,1601
The Crucifixion,Martín Bernat,1604
The Coronation of the Virgin,Luca Signorelli,1622
Madonna and Child,Carlo Crivelli,1609
Madonna of the Roses,Pseudo Pier Francesco Fiorentino,1619
Madonna and Child with Angels,Giovanni di Paolo,1610
David with Head of Goliath,Antonio de Bellis,1603
Saint Nicholas of Bari,Giovanni Bonsi,1605
The Seine Valley at Mézy,Berthe Morisot,1908
The Masked Ball at the Elysée Montmartre,Henri de Toulouse-Lautrec,1909
Notre Dame,Maximilien Luce,1906
Tea at Madame Vuillard’s,Édouard Vuillard,1910
The Corn-poppies,Georges Braque,1903
By the Seashore,Sorolla y Bastida,20001
Maria at La Granja,Sorolla y Bastida,20002
The Molo...,Bellotto,20006
Seine in Parin,Dufy,20003
