,Title,Artist,Gallery,Unique ID,Group
0,Composition with Boats,Stuart Davis,1,1005,hiPos
1,Untitled,Janet Sobel,1,1014,hiPos
13,"Blue, White and Gold",Emil J. Carlsen,2,2019,hiPos
12,Elizabeth Crowell with a Dog,Thomas Easkins,2,2006,hiPos
10,Junior Camp,Daniel Garber,1,1007,hiPos
9,The Edge of the Forest,Theodore Robinson,1,1011,hiPos
8,"Late Afternoon, Giverny ",Guy Orlando Rose,1,1012,hiPos
7,Pool in the Mountains,Milton Avery,1,1002,hiPos
6,Formation I,Arthur Garfield Dove,1,1006,hiPos
5,Mukie,Robert Henri,1,1009,hiPos
4,Morning News,Francis Luis Mora,1,1010,hiPos
3,Untitled,George Copeland Ault,1,1001,hiPos
2,Still-life Synchromy with Nude in Yellow,Morgan Russell,1,1013,hiPos
14,"Portrait of Colonel James Hervey Birch, Jr.",George Caleb Bingham,2,2002,hiPos
33,Eve of Saint John,Hurd,100,10005,hiNeg
24,Three Pigs and a Mountain,George Wesley Bellows,3,3002,hiNeg
22,Sunday Afternoon,Hughie Lee-Smith,3,3005,hiNeg
21,Woman Seated,Hans Hofmann,3,3009,hiNeg
11,Portrait in Grey and Black,Eduard Jean Steichen,2,2012,hiNeg
19,"Kilauea Caldera, Sandwich Islands",Jules Tavernier,2,2013,hiNeg
16,"Farm Landscape, Cattle in Pasture--Sunset Nantucket",George Inness,2,2008,hiNeg
15,Portrait of Mrs. William Crane,Sarah Miriam Peale,2,2011,hiNeg
31,Rock ledge in Autumn,Braun,100,10007,hiNeg
29,Afternoon Stroll,Chase,100,10003,hiNeg
28,Southern California Landscape,Braun,100,10002,hiNeg
27,The White Flower,O'Keefe,100,10001,hiNeg
26,Still-life,José Agustín Arrieta,3,3001,hiNeg
25,Still-life with Peaches,Raphaelle Peale,3,3007,hiNeg
56,Saint Nicholas of Bari,Giovanni Bonsi,16,1605,loPos
54,Madonna and Child with Angels,Giovanni di Paolo,16,1610,loPos
49,Saint Peter,The Astorga Master,16,1601,loPos
51,The Coronation of the Virgin,Luca Signorelli,16,1622,loPos
35,Torrey Pines,Fechin,100,10010,loPos
48,"Male Saint, perhaps Saint Mark",Bartolommeo Vivarini,16,1625,loPos
47,Madonna and Child with the Young Saint John the Baptist and Angels,Giuliano Burgiardini,16,1607,loPos
46,Saint Jerome in the Wilderness, follower of Pietro Perugino,16,1616,loPos
45,Mystical Marriage of Saint Catherine,Master of Frankfurt,16,1613,loPos
39,Flower Garland with the Holy Family,Daniel Seghers,16,1621,loPos
38,"The Holy Family with Saints Francis, Anne ,and John the Baptist",Peter Paul Reubens,16,1620,loPos
37,Holy Father with Saint Anne,Vincenzo Catena (Vincenzo di Biagio),16,1608,loPos
65,Seine in Parin,Dufy,200,20003,loPos
36,Madonna and Child with Infant John the Baptist,Fransesco Vecellio,16,1624,loPos
43,Joseph Sold by His Brothers,Francesco Maffei,16,1612,loNeg
44,The Penitent Magdalene,Giulio Cesare Procaccini,16,1618,loNeg
50,The Crucifixion,Martín Bernat,16,1604,loNeg
42,Susanna and the Elders,de Ribera,16,1628,loNeg
55,David with Head of Goliath,Antonio de Bellis,16,1603,loNeg
40,The Arrest of Christ,Hieronymus Bosch,16,1606,loNeg
34,Sierra Lake,Payne,100,10009,loNeg
53,Madonna of the Roses,Pseudo Pier Francesco Fiorentino,16,1619,loNeg
64,The Molo...,Bellotto,200,20006,loNeg
63,Maria at La Granja,Sorolla y Bastida,200,20002,loNeg
62,By the Seashore,Sorolla y Bastida,200,20001,loNeg
61,The Corn-poppies,Georges Braque,19,1903,loNeg
60,Tea at Madame Vuillard’s,Édouard Vuillard,19,1910,loNeg
59,Notre Dame,Maximilien Luce,19,1906,loNeg
41,The Vision of Saint Anthony of Padua,Giovanni Battista Pittoni,16,1617,indiff
32,Game of Croquet,Fries,100,10008,indiff
52,Madonna and Child,Carlo Crivelli,16,1609,indiff
23,After Many Days,Thomas Hart Benton,3,3003,indiff
20,Indian Village,Thomas Moran,2,2010,indiff
18,Still-life,Emil J. Carlsen,2,2003,indiff
17,Mr. Paff,Henry Inman,2,2007,indiff
57,The Seine Valley at Mézy,Berthe Morisot,19,1908,indiff
58,The Masked Ball at the Elysée Montmartre,Henri de Toulouse-Lautrec,19,1909,indiff
30,San Felipe Valley,Reiffel,100,10004,indiff
